Hours,RH,Temp,P308,P355,HONO,OH,HONO_LOD,OH_LOD,HONO.rate.change,HONO_OH,HONO_NOx,Isoprene,O3,NO,NO2,NOx,JNO2,dHONOdt,HONO_error,OH_error,Jcorr,Limonene,JHONO_RACM,JHONO
0,88.91319317,16.44697376,2.644092072,0.820319817,0.020986269,1.46E-05,9.028333333,429333.3333,2.210973335,0.000141068,0.012307685,2.693333333,17.06977373,0.035978633,1.351200391,1.387179024,1.08E-06,-0.001248898,2.379613999,67476.10852,1,2.693333333,0,0
1,89.80498106,16.02126625,2.649475708,0.802150361,0.022690666,1.43E-05,9.054705882,430588.2353,1.010052592,0.000135485,0.012972615,2.61,15.38419861,0.03631655,1.427890017,1.464206567,8.48E-07,0.001704397,2.602872289,65152.97006,1,2.61,0,0
2,90.50795116,15.9528446,2.568270309,0.804363229,0.021679544,1.52E-05,9.543888889,453666.6667,-1.011122074,0.000111946,0.012159248,2.413333333,15.39128709,0.030441163,1.470799339,1.501240502,9.16E-07,-0.001011122,2.471120242,57137.79611,1,2.413333333,0,0
3,91.16982475,15.7616035,2.608671257,0.803307637,0.021680883,1.31E-05,9.414705882,447588.2353,-0.530770282,0.000108602,0.01217082,2.036666667,14.96694975,0.024405737,1.563799789,1.588205526,9.09E-07,1.34E-06,2.341008303,45951.86993,1,2.036666667,0,0
4,91.84481,15.53644386,2.568917421,0.823877389,0.021840352,1.27E-05,9.613888889,457166.6667,0.658404883,0.000103974,0.012738743,1.703333333,13.95658601,0.012986431,1.344302859,1.35728929,8.73E-07,0.000159469,2.148887854,43531.59733,1,1.703333333,0,0
5,92.49241335,15.39257925,2.557619482,0.789938997,0.022337561,1.14E-05,9.750555556,463777.7778,0.497209296,0.000112958,0.012977176,2.695,13.38122499,0.01640177,1.388460514,1.404862284,9.04E-07,0.000497209,2.169147183,38903.32396,1,2.695,0,0
6,93.22601285,15.22474142,2.569772242,0.799583569,0.021136837,1.34E-05,9.846111111,468111.1111,-1.200724151,9.31E-05,0.012205992,0.881,13.21113959,0.062038369,1.422240287,1.484278656,7.24E-06,-0.001200724,1.830998838,42501.13335,0.022004924,0.881,7.10E-07,2.53E-06
7,93.22686443,15.91937231,2.524604303,0.814934196,0.020512606,1.34E-05,10.06529412,478705.8824,0.697814508,0.000108972,0.010644488,1.23,14.84514328,0.155648656,1.580839217,1.736487873,3.79E-05,-0.000624231,2.100685152,49804.44045,0.012514371,1.23,9.55E-06,8.59E-06
8,92.33574116,16.98598533,2.554178568,0.806549295,0.020492899,1.85E-05,10.080625,478937.5,0.067064162,8.99E-05,0.009282257,1.46075,14.61119116,0.26512693,1.862233151,2.127360081,7.89E-05,-1.97E-05,2.425400936,94480.00907,0.015430183,1.46075,2.03E-05,1.75E-05
9,88.15115368,18.54053569,2.784415069,0.819999459,0.019833063,2.86E-05,9.264375,440875,-0.686592602,5.77E-05,0.008093808,2.678,16.55333003,0.371678235,2.145101361,2.516779596,0.000121061,-0.000659837,2.083654784,133336.6192,0.018637955,2.678,3.00E-05,2.69E-05
10,78.83542116,20.30833871,2.888723437,0.805202493,0.019170586,3.42E-05,8.756470588,416235.2941,-0.613729788,3.34E-05,0.009462417,4.081666667,23.09463283,0.328088503,1.900078959,2.228167462,0.000157819,-0.000662476,2.105066657,114116.7208,0.021298303,4.081666667,3.57E-05,3.51E-05
11,70.84688164,21.74596962,2.988793322,0.859083359,0.018146833,6.04E-05,8.328125,396250,0.928300446,1.62E-05,0.010706953,4.6725,24.64254346,0.23601641,1.546912178,1.782928588,0.000250694,-0.001023753,1.698951976,190135.3296,0.031391837,4.6725,5.53E-05,5.59E-05
12,67.83784643,22.66907052,2.873094214,0.862211586,0.017925879,6.81E-05,8.701764706,413823.5294,-1.630981316,1.32E-05,0.010961717,4.4775,26.6768278,0.193975355,1.21344806,1.407423415,0.000288407,-0.000220955,1.584339141,167265.0327,0.034795184,4.4775,6.37E-05,6.44E-05
13,62.22670484,23.99807534,2.802505604,0.821905801,0.0184535,7.67E-05,8.825555556,419888.8889,0.304002471,1.14E-05,0.011232962,4.273333333,29.11591629,0.156485237,1.086448551,1.242933788,0.000571781,0.000527621,1.756684659,143020.2236,0.068496368,4.273333333,0.000126444,0.000127715
14,60.10777411,24.49068908,2.755692282,0.826715307,0.017986439,7.33E-05,8.985555556,427333.3333,-0.467060698,1.60E-05,0.010894714,6.715,31.25005498,0.161669257,1.165848016,1.327517273,0.000655198,-0.000467061,1.769995226,198824.5291,0.080215379,6.715,0.000144656,0.000146262
15,60.34004061,24.67955205,2.737417988,0.877725133,0.016908214,6.48E-05,9.068333333,431444.4444,-1.078225595,1.75E-05,0.009313365,5.676666667,30.72839768,0.14405175,1.161511364,1.305563114,0.000330353,-0.001078226,1.691352235,207289.1234,0.042720144,5.676666667,8.63E-05,7.36E-05
16,62.69196896,24.05730814,2.624987079,0.87552765,0.018116374,5.40E-05,9.275,440944.4444,1.208160695,3.14E-05,0.010543201,5.945,30.62664101,0.161672181,1.259701631,1.421373812,0.00023067,0.001208161,1.529402052,179586.5673,0.032966754,5.945,6.52E-05,5.13E-05
17,61.05110256,24.03839461,2.460158482,0.889859398,0.018265385,4.68E-05,9.747222222,462944.4444,0.149010019,2.25E-05,0.010455907,5.746666667,30.71042331,0.17388581,1.482648691,1.656534501,0.000297915,0.00014901,1.543636661,176839.6187,0.050776373,5.746666667,4.17E-05,6.62E-05
18,64.92226616,22.9107064,2.456342887,0.887049947,0.019540172,4.34E-05,9.680555556,460000,1.274787972,3.67E-05,0.010969976,5.009,28.79886484,0.224559335,1.340328816,1.564888151,0.000131235,0.001274788,2.43533372,200915.0487,0.031529931,5.009,4.14E-05,2.94E-05
19,68.41831275,21.96838969,2.493731805,0.848259772,0.019134055,3.74E-05,9.553888889,454500,-0.406117825,6.65E-05,0.010458146,5.495555556,25.78578648,0.191206952,1.302458202,1.493665154,7.71E-05,-0.000406118,2.085677157,202131.2429,0.047401544,5.495555556,1.00E-05,1.90E-05
20,74.67610843,20.33305131,2.545988433,0.876576795,0.018738965,2.82E-05,9.357222222,444833.3333,-0.395090045,0.000158651,0.010533101,4.95,23.44307366,0.147546742,1.333231866,1.480778608,2.34E-05,-0.00039509,1.870392193,170912.1363,1,4.95,0,1.40E-07
21,80.70170317,18.71578588,2.532181076,0.841177246,0.019355693,2.74E-05,9.276470588,441000,0.586115758,9.01E-05,0.011000994,4.554,22.66265644,0.096042312,1.265824866,1.361867178,1.64E-06,0.000616728,2.260509768,138809.0617,1,4.554,0,0
22,84.01955005,17.61105344,2.820656006,0.850460531,0.020613509,2.37E-05,8.630555556,410444.4444,1.322906091,0.000120918,0.012164884,3.26,21.44920094,0.043176557,1.267020077,1.310196634,8.28E-07,0.001257817,2.306574173,110657.9099,1,3.26,0,0
23,86.80618209,16.92162997,2.832855408,0.830648475,0.019737371,1.97E-05,8.697222222,413500,-0.876138178,0.000118317,0.011833349,3.0875,19.204791,0.049331642,1.271009701,1.320341343,8.65E-07,-0.000876138,2.117188194,81374.68704,1,3.0875,0,0
