"","Hours","RH","Temp","P308","P355","HONO","OH","HONO_LOD","OH_LOD","HONO.rate.change","HONO_OH","HONO_NOx","Isoprene","O3","NO","NO2","NOx","JNO2","dHONOdt","HONO_error","OH_error","Jcorr","Limonene","JHONO_RACM","JHONO","TempK","JNO2_TUV","JHONO_TUV","k_OH_NO_LPL","k_OH_NO_HPL","k_OH_NO","k_HONO_OH","gamma_NO2_ground","gamma_NO2_aerosol","JNO2_NO2","gamma_HONO_ground","gamma_HONO_aerosol","v_HONO","v_NO2","H","P_OH_NO","P_NO2het_ground","P_NO2het_ground_light","P_NO2het_aerosol","P_NO2het_aerosol_light","P_emis","P_soil","P_NO2het","production","L_photo","L_OH","L_uptake_ground","L_aerosol","L_ground_light","L_aerosol_light","L_dilution","L_het","loss","unknown","HONO_pss","HONO_OH_meas","delta","HONO_model"
"1",0,88.91319317,16.44697376,2.644092072,0.820319817,0.020986269,359160,9.028333333,429333.3333,2.210973335,0.000141068,0.012307685,2.693333333,17.06977373,0.035978633,1.351200391,1.387179024,1.08e-06,-755783113679998848,2.379613999,67476.10852,0.000961476828408435,2.693333333,0,0,289.59697376,0.001123272,0,1.8874869575414e-11,3.61272766120047e-11,7.72375041598519e-12,6.13549137621976e-12,1.31868534397236e-08,2.30769935195162e-07,35898.691988088,1.60916350579572e-05,0,0.391970754054092,0.396239502341654,200,0.00359305076849667,4.2843628877872e-06,1.42213824719015e-17,4.81859073444319e-07,7.1879530292799e-11,0,0,0.00476629384077603,0.00359781706233744,0,0.00793304309765912,0.000153456550212177,2.57524785413539e-06,4.1884962651798e-16,0,5975.25714583333,0.000156031798066731,0.00808907489572586,-30722890.8035978,0.0452922128906233,1437.41568493151,-0.00449125783338841,20
"2",1,89.80498106,16.02126625,2.649475708,0.802150361,0.022690666,351780,9.054705882,430588.2353,1.010052592,0.000135485,0.012972615,2.61,15.38419861,0.03631655,1.427890017,1.464206567,8.48e-07,1.03143288852e+18,2.602872289,65152.97006,0.000754937361565142,2.61,0,0,289.17126625,0.001123272,0,1.8947200632791e-11,3.61325916192811e-11,7.74050746114817e-12,6.14360606541962e-12,1.03541219600792e-08,1.81197134301387e-07,29786.9280666336,1.60915145245639e-05,0,0.391682549623828,0.395948159227814,200,0.00355998086496216,4.56957721820016e-06,7.34256633483571e-18,5.08833381429829e-07,5.95981640127756e-11,0,0,0.00507847019780134,0.00356505933515996,0,0.00778031187009593,0.000153343718177729,2.57335435102855e-06,2.04637841669033e-16,0,6460.53684722222,0.000155917072528962,0.00793622894262489,41928166.196435,0.0457562746121419,1586.75986013986,-0.00437116960746493,19.9956288303925
"3",2,90.50795116,15.9528446,2.568270309,0.804363229,0.021679544,373920,9.543888889,453666.6667,-1.011122074,0.000111946,0.012159248,2.413333333,15.39128709,0.030441163,1.470799339,1.501240502,9.16e-07,-611890589520001152,2.471120242,57137.79611,0.000815474791501969,2.413333333,0,0,289.1028446,0.001123272,0,1.89588617941096e-11,3.61334466742644e-11,7.74320536274732e-12,6.14491352706723e-12,1.11844053248026e-08,1.95727093184045e-07,33142.4039852904,1.60914208673886e-05,0,0.391636208311745,0.395901313236759,200,0.00317294989453737,4.74318006034709e-06,9.60595027164383e-18,5.24062250836072e-07,6.63040085311937e-11,0,0,0.0052673086152013,0.00317821720315257,0,0.00827174183774752,0.000153325575554048,2.57304988860816e-06,2.59906538617168e-16,0,6172.64794444444,0.000155898625442916,0.00842764046319043,-24873601.2031783,0.038358908640715,1426.28578947368,-0.00524942326003786,19.9903794071325
"4",3,91.16982475,15.7616035,2.608671257,0.803307637,0.021680883,322260,9.414705882,447588.2353,-0.530770282,0.000108602,0.01217082,2.036666667,14.96694975,0.024405737,1.563799789,1.588205526,9.09e-07,810309240000880,2.341008303,45951.86993,0.000809242997243766,2.036666667,0,0,288.9116035,0.001123272,0,1.89915079317115e-11,3.61358377663897e-11,7.75075292187572e-12,6.14857269449821e-12,1.1098934978434e-08,1.94231362122595e-07,34968.7526017446,1.60913337543618e-05,0,0.391506653499628,0.395770347511005,200,0.00219454617487287,5.07829624254444e-06,1.0050646144119e-17,5.5701502733715e-07,6.99346215261698e-11,0,0,0.00563538120451317,0.00220018155607738,0,0.00713318053150437,0.000153274854845104,2.57219871349256e-06,2.55764803050064e-16,0,6173.0291875,0.000155847053558853,0.00728902758506323,32939.3977998542,0.0307653250212923,1655.02923664122,-0.00508884602898585,19.9852905611035
"5",4,91.84481,15.53644386,2.568917421,0.823877389,0.021840352,312420,9.613888889,457166.6667,0.658404883,0.000103974,0.012738743,1.703333333,13.95658601,0.012986431,1.344302859,1.35728929,8.73e-07,96504260040000880,2.148887854,43531.59733,0.000777193769630152,1.703333333,0,0,288.68644386,0.001123272,0,1.90300440432693e-11,3.61386551754344e-11,7.75965202038808e-12,6.15288986552534e-12,1.06593731971099e-08,1.86539030949423e-07,28869.9793393122,1.60912459625759e-05,0,0.391354065860833,0.395616098120116,200,0.0011333743692669,4.39610651986132e-06,7.70717534319063e-18,4.78645066592367e-07,5.77150750186652e-11,0,0,0.00487480930153642,0.00113824917856844,0,0.00692022906643473,0.000153215116784516,2.57119621270568e-06,2.28151692131682e-16,0,6218.43355555556,0.00015578631299745,0.00707601537943218,3922937.39886179,0.0163777001944072,1719.71275590551,-0.00593776620086374,19.9793527949026
"6",5,92.49241335,15.39257925,2.557619482,0.789938997,0.022337561,280440,9.750555556,463777.7778,0.497209296,0.000112958,0.012977176,2.695,13.38122499,0.01640177,1.388460514,1.404862284,9.04e-07,300890998439999424,2.169147183,38903.32396,0.0848030018761726,2.695,0,1.47896435272045e-07,288.54257925,1.066e-05,1.744e-06,1.90547232056423e-11,3.61404566105710e-11,7.76534537606771e-12,6.15565341774014e-12,1.10378847310279e-08,1.93162982792988e-07,30877.1402945376,1.60911627073347e-05,1.93348378711593e-07,0.391256539604549,0.395517509756428,200,0.00128586078907042,4.57138573780129e-06,8.89892326415776e-18,4.9424440040317e-07,6.17122842492356e-11,0,0,0.00506569185049761,0.00129092648092091,0.000532427166979362,0.00621464920009576,0.000153176935255181,2.57055546520189e-06,2.55051133620806e-16,8.50108812065481e-13,6360.00000694444,0.000155747491570747,0.00690282385864587,12231341.398709,0.0190580440936648,1959.4351754386,-0.00561189737772496,19.9737408975249
"7",6,93.22601285,15.22474142,2.569772242,0.799583569,0.021136837,329640,9.846111111,468111.1111,-1.200724151,9.31e-05,0.012205992,0.881,13.21113959,0.062038369,1.422240287,1.484278656,7.24e-06,-726630135840000896,1.830998838,42501.13335,0.00894379246448425,0.881,7.1e-07,1.14033353922174e-06,288.37474142,0.0008095,0.0001275,1.90835708807764e-11,3.61425594812027e-11,7.77199468701494e-12,6.15888253727239e-12,8.84007582440728e-08,1.54701326927127e-06,253306.684075848,1.60910695278544e-05,1.49078401107786e-06,0.391142731096933,0.395402461819934,200,0.00572183424830738,4.71836968929014e-06,4.71836968929013e-15,5.06121579701361e-07,5.06121579701361e-10,0,0,0.00522499739528957,0.00572705924570267,0.00410520074119827,0.00730877054251129,0.000153132379224449,2.56980774330685e-06,1.32020022903674e-13,5.24798396611771e-11,6018.12720138889,0.000155702239579616,0.0115696735232892,-29537810.4057271,0.0501300915000005,1577.37589552239,-0.00584261427758651,19.9678982832473
"8",7,93.22686443,15.91937231,2.524604303,0.814934196,0.020512606,329640,10.06529412,478705.8824,0.697814508,0.000108972,0.010644488,1.23,14.84514328,0.155648656,1.580839217,1.736487873,3.79e-05,-377759631960000576,2.100685152,49804.44045,0.013473160327053,1.23,9.55e-06,5.85408816210451e-06,289.06937231,0.002813,0.0004345,1.89645701255909e-11,3.61338650534856e-11,7.74452566100576e-12,6.14555347216739e-12,4.62760875338447e-07,8.09831531842283e-06,1473879.63557778,1.60910694203787e-05,7.65318280251735e-06,0.39161353586067,0.395878393871889,200,0.0143048268165215,5.25089202356166e-06,7.53242852054698e-13,5.63238081176089e-07,2.94844244151572e-09,0,0,0.00581707930042212,0.014310643895822,0.0210747173835763,0.00729295288763493,0.000153316699289452,2.5729009306046e-06,1.89613008884882e-11,1.41202678377833e-09,5840.39476388889,0.000155891031208142,0.0285235613024193,-15356082.6143107,0.0504265125749108,1530.79149253731,-0.0142129174065974,19.9536853658407
"9",8,92.33574116,16.98598533,2.554178568,0.806549295,0.020492899,455100,10.080625,478937.5,0.067064162,8.99e-05,0.009282257,1.46075,14.61119116,0.26512693,1.862233151,2.127360081,7.89e-05,-11925888119999706,2.425400936,94480.00907,0.0155467980295566,1.46075,2.03e-05,1.24514305418719e-05,290.13598533,0.005075,0.0008009,1.87838346385307e-11,3.61205593070859e-11,7.70260438954299e-12,6.12526638286253e-12,9.63372904068694e-07,1.68590258212021e-05,3614482.81210194,1.60911827623537e-05,1.62780387741096e-05,0.39233536172005,0.396608080758832,600,0.0334580612659678,2.04591085410508e-06,2.64790266943095e-12,6.64719044349224e-07,7.24396859104333e-09,0,0,0.00271787651494802,0.0334607791424827,0.0448251499507389,0.0100353914310266,5.11997647044666e-05,2.57764332650073e-06,5.6583764160772e-11,6.26383744295815e-09,5834.78374305555,5.37837284521744e-05,0.0549143251102177,-484792.233460767,0.060987479203201,1107.72427027027,-0.021453545967735,19.932231819873
"10",9,88.15115368,18.54053569,2.784415069,0.819999459,0.019833063,703560,9.264375,440875,-0.686592602,5.77e-05,0.008093808,2.678,16.55333003,0.371678235,2.145101361,2.516779596,0.000121061,-399306353759999104,2.083654784,133336.6192,0.017474162817552,2.678,3e-05,1.94312690531178e-05,291.69053569,0.006928,0.001112,1.85246636139344e-11,3.61012627092426e-11,7.64205782826914e-12,6.09608253648955e-12,1.47816080024664e-06,2.58678140043163e-05,6388327.65025492,1.60917396142393e-05,2.54029406511274e-05,0.393385025190264,0.397669175564406,600,0.0719417653897699,2.255895628073e-06,1.0546687426701e-11,7.67736620757859e-07,1.28374258350231e-08,0,0,0.00303648022135331,0.0719448018699913,0.069952568591224,0.0154402553857413,5.13367457873295e-05,2.58453961550004e-06,1.9566230101929e-10,1.50386903642653e-08,5646.91377083333,5.39365197554948e-05,0.0854467604967208,-16231965.6719448,0.0842480223035793,693.463741258741,-0.0135019586267295,19.9187298612463
"11",10,78.83542116,20.30833871,2.888723437,0.805202493,0.019170586,841320,8.756470588,416235.2941,-0.613729788,3.34e-05,0.009462417,4.081666667,23.09463283,0.328088503,1.900078959,2.228167462,0.000157819,-4.0090458132e+17,2.105066657,114116.7208,0.0190212124864409,4.081666667,3.57e-05,2.56025520067494e-05,293.45833871,0.008297,0.001346,1.82359178594891e-11,3.60794560062914e-11,7.57398876124444e-12,6.06343700057187e-12,1.92697779907753e-06,3.37221114838568e-05,7376766.60626836,1.60931478995374e-05,3.34707994298759e-05,0.394575287925575,0.39887240082807,600,0.0752626285886326,1.79245508799873e-06,1.85656622640658e-11,6.82100150525307e-07,1.4868558515988e-08,0,0,0.00248944236270229,0.0752651180309953,0.0921691872242979,0.018364646942356,5.14920750742876e-05,2.59235964167103e-06,3.88880085143335e-10,2.59095098920052e-08,5458.29184722222,5.41107331059358e-05,0.11058794489976,-16296934.2752651,0.0680901274764048,560.543450292398,-0.0353228268687646,19.8834070343775
"12",11,70.84688164,21.74596962,2.988793322,0.859083359,0.018146833,1485840,8.328125,396250,0.928300446,1.62e-05,0.010706953,4.6725,24.64254346,0.23601641,1.546912178,1.782928588,0.000250694,-6.1953436548e+17,1.698951976,190135.3296,0.0272020399305556,4.6725,5.53e-05,4.09118680555556e-05,294.89596962,0.009216,0.001504,1.80056760851596e-11,3.60618284061813e-11,7.51923695833366e-12,6.0373041516168e-12,3.06098614464635e-06,5.35672575313111e-05,9539919.39816768,1.60945889706629e-05,5.3485017025961e-05,0.39554060483524,0.399848230498859,600,0.0949271665232864,1.31462785742282e-06,5.4578167760292e-11,5.56677087399392e-07,1.92756361531082e-08,0,0,0.00189063515914308,0.0949290571584456,0.147282725,0.0322936848022979,5.16180489309988e-05,2.59870177376753e-06,1.40432972016666e-09,6.59281812045274e-08,5166.80661805556,5.4284083215691e-05,0.179630693885514,-25184323.8949291,0.0528617130879246,300.444254966887,-0.084701636727068,19.7987053976504
"13",12,67.83784643,22.66907052,2.873094214,0.862211586,0.017925879,1675260,8.701764706,413823.5294,-1.630981316,1.32e-05,0.010961717,4.4775,26.6768278,0.193975355,1.21344806,1.407423415,0.000288407,-133712522640000880,1.584339141,167265.0327,0.0296837175792507,4.4775,6.37e-05,4.71971109510086e-05,295.81907052,0.009716,0.00159,1.78599554885953e-11,3.60505595101304e-11,7.48436232084348e-12,6.02071694376041e-12,3.52146374073181e-06,6.16256154628067e-05,8609186.10015433,1.60952020351933e-05,6.17018582325057e-05,0.396159193488706,0.400473555877522,600,0.0875560335174995,9.8898189870519e-07,6.25158348690268e-11,4.37358473514792e-07,1.7422271446268e-08,0,0,0.00144382515950112,0.087557477342659,0.169909599423631,0.0363105585619346,5.16987747502761e-05,2.6027659012208e-06,2.05069550636556e-09,8.76350265809652e-08,5103.89610416667,5.43912263735842e-05,0.206274549211939,-5435468.48755751,0.0424575533123333,263.228766519824,-0.11871707186928,19.6799883257812
"14",13,62.22670484,23.99807534,2.802505604,0.821905801,0.0184535,1886820,8.825555556,419888.8889,0.304002471,1.14e-05,0.011232962,4.273333333,29.11591629,0.156485237,1.086448551,1.242933788,0.000571781,319295124360000576,1.756684659,143020.2236,0.0582439645512886,4.273333333,0.000126444,9.35980510339207e-05,297.14807534,0.009817,0.001607,1.76530118665332e-11,3.60344032319263e-11,7.43453415346855e-12,5.99709608393783e-12,6.98147430242461e-06,0.000122175800292431,15281781.7179075,1.60964715033211e-05,0.000122362864153455,0.397048094028645,0.401372136967906,600,0.0790241994037202,8.14056305102818e-07,4.00984795506456e-10,3.924631589585e-07,3.09948863939848e-08,0,0,0.00123791533525081,0.0790254373190555,0.336952983722115,0.0407355869991441,5.18147762707382e-05,2.6086059777682e-06,1.46921491659342e-08,3.45323721581807e-07,5254.12152777778,5.47833981192541e-05,0.377743354119378,12979476.5209746,0.0209231111369906,240.593220338983,-0.298717916800323,19.3812704089808
"15",14,60.10777411,24.49068908,2.755692282,0.826715307,0.017986439,1803180,8.985555556,427333.3333,-0.467060698,1.6e-05,0.010894714,6.715,31.25005498,0.161669257,1.165848016,1.327517273,0.000655198,-282646634760000576,1.769995226,198824.5291,0.0688233193277311,6.715,0.000144656,0.00010708908487395,297.64068908,0.00952,0.001556,1.75771486656158e-11,3.60284348689795e-11,7.41617792569596e-12,5.98841765266556e-12,8e-06,0.00014,18790987.6943243,1.60970002371975e-05,0.00014,0.397377072014373,0.401704697680658,600,0.077830382635535,8.44502129211317e-07,6.25896811998297e-10,4.21493962327987e-07,3.81439228079244e-08,0,0,0.00130476591115923,0.0778316874014462,0.385520705546218,0.0388735017945605,5.18577078978756e-05,2.61076736313443e-06,2.13718272707379e-08,4.53113860725674e-07,5121.13888194444,5.49429609490065e-05,0.424449150301728,-11489700.6778317,0.0183391717627849,245.381159618008,-0.346617462900282,19.0346529460806
"16",15,60.34004061,24.67955205,2.737417988,0.877725133,0.016908214,1594080,9.068333333,431444.4444,-1.078225595,1.75e-05,0.009313365,5.676666667,30.72839768,0.14405175,1.161511364,1.305563114,0.000330353,-652498640999998592,1.691352235,207289.1234,0.0374762336925695,5.676666667,8.63e-05,5.37783953488372e-05,297.82955205,0.008815,0.001435,1.75481832040778e-11,3.60261495418001e-11,7.40915646927441e-12,5.9851013674484e-12,4.0336264762713e-06,7.05884633347477e-05,9439235.58533471,1.60969408174424e-05,7.03057212385303e-05,0.397503126541114,0.401832125001261,600,0.0612491292396136,8.44879884228936e-07,8.02627502003165e-11,4.2005932164831e-07,1.91668310890172e-08,0,0,0.00128418629971646,0.0612504134259133,0.193602223255814,0.0343466293961597,5.18741580136154e-05,2.61159554137512e-06,2.75086846279138e-09,1.14766044894554e-07,4814.14426388889,5.46032704683479e-05,0.228003455922442,-26524335.0612504,0.0268696808635081,260.929228395062,-0.166753042496529,18.867899903584
"17",16,62.69196896,24.05730814,2.624987079,0.87552765,0.018116374,1328400,9.275,440944.4444,1.208160695,3.14e-05,0.010543201,5.945,30.62664101,0.161672181,1.259701631,1.421373812,0.00023067,7.311301056e+17,1.529402052,179586.5673,0.0300429799426934,5.945,6.52e-05,3.72532951289398e-05,297.20730814,0.007678,0.00124,1.76438659824314e-11,3.60336850093293e-11,7.43232374205722e-12,5.99605038577337e-12,2.81649211383429e-06,4.92886119921001e-05,7148154.23048014,1.60963592879457e-05,4.87020813016611e-05,0.39708766537437,0.401412139264442,600,0.0574633953271752,9.51023740255094e-07,3.07573565081679e-11,4.55093573881155e-07,1.4499507553476e-08,0,0,0.00142064757904623,0.0574648159747542,0.134111862464183,0.0286745519968609,5.18199403313553e-05,2.60886596150961e-06,9.71952130056557e-10,5.54535018974527e-08,5158.13426388889,5.44852317468924e-05,0.162840899692791,29720735.9425352,0.0352998716246843,335.488407407407,-0.105376083718037,18.762523819866
"18",17,61.05110256,24.03839461,2.460158482,0.889859398,0.018265385,1151280,9.747222222,462944.4444,0.149010019,2.25e-05,0.010455907,5.746666667,30.71042331,0.17388581,1.482648691,1.656534501,0.000297915,90175496759997648,1.543636661,176839.6187,0.049087988136431,5.746666667,4.17e-05,4.74680845279288e-05,297.18839461,0.006069,0.000967,1.76467856268083e-11,3.60339143267177e-11,7.43302944903453e-12,5.99638422085524e-12,3.6375568911993e-06,6.36572455959878e-05,10865900.8055699,1.60967611859108e-05,6.20561081620245e-05,0.397075030340247,0.401399366628776,600,0.0535689898688746,1.09000805577036e-06,7.59435895109427e-11,5.35620820950346e-07,2.20399829935666e-08,0,0,0.00164774480330379,0.0535706376136778,0.170885104300544,0.0248526620128304,5.18182914594022e-05,2.60878294933542e-06,2.03904714065606e-09,9.12543186650958e-08,5200.56100694444,5.45203677745433e-05,0.195792286681149,3665670.54642927,0.02736773330861,390.286004273504,-0.142221649067471,18.6203021707985
"19",18,64.92226616,22.9107064,2.456342887,0.887049947,0.019540172,1067640,9.680555556,460000,1.274787972,3.67e-05,0.010969976,5.009,28.79886484,0.224559335,1.340328816,1.564888151,0.000131235,771450100920002688,2.43533372,200915.0487,0.0329653353428787,5.009,4.14e-05,2.04813628485305e-05,296.0607064,0.003981,0.0006213,1.78220806528113e-11,3.60476160902426e-11,7.47526935607378e-12,6.01639956370628e-12,1.60238584366863e-06,2.80417522642011e-05,4327092.0833269,1.60958395164799e-05,2.67757521895847e-05,0.396320959150003,0.400637083243953,600,0.0645186537956637,1.04586932530967e-06,6.22889132401076e-12,4.83286884687055e-07,8.76024230827426e-09,0,0,0.00153792268119633,0.0645201917183449,0.0737329062547099,0.0231240557887034,5.17198851690754e-05,2.60382870161552e-06,1.84990291148726e-10,1.73118045024e-08,5563.52119444444,5.43412106654845e-05,0.0969113032540787,31359760.1354799,0.0666123037874605,450.234377880184,-0.0323911115357338,18.5879110592628
"20",19,68.41831275,21.96838969,2.493731805,0.848259772,0.019134055,920040,9.553888889,454500,-0.406117825,6.65e-05,0.010458146,5.495555556,25.78578648,0.191206952,1.302458202,1.493665154,7.71e-05,-245765763720001184,2.085677157,202131.2429,0.0445922498554078,5.495555556,1e-05,1.19016714864083e-05,295.11838969,0.001729,0.0002669,1.79704147630043e-11,3.60591096342418e-11,7.51081394914153e-12,6.03329381354684e-12,9.41394815002488e-07,1.64744092625435e-05,2470320.37340532,1.60950803819458e-05,1.55593262381355e-05,0.395689741472753,0.399998991305419,600,0.0475663571880398,1.06934121469534e-06,1.29140879960713e-12,4.68883770315723e-07,4.99322357615224e-09,0,0,0.00154321949999602,0.0475679004075397,0.04284601735107,0.0199831379047763,5.16375112621943e-05,2.59968160147599e-06,3.94665351000741e-11,5.90070494809812e-09,5447.89065972222,5.42431330351535e-05,0.0628833983888814,-9990478.24756795,0.0757074593703274,511.605748663102,-0.0153154979813417,18.5725955612814
"21",20,74.67610843,20.33305131,2.545988433,0.876576795,0.018738965,693720,9.357222222,444833.3333,-0.395090045,0.000158651,0.010533101,4.95,23.44307366,0.147546742,1.333231866,1.480778608,2.34e-05,-2.390926644e+17,1.870392193,170912.1363,0.0920535011801731,4.95,0,3.69870967741935e-06,293.48305131,0.0002542,4.018e-05,1.82319257068956e-11,3.60791521894449e-11,7.57304304112872e-12,6.06298466058933e-12,2.85715157860677e-07,5.00001526256185e-06,767461.59134424,1.60938671025897e-05,4.83540741288633e-06,0.394591901486508,0.398889195318598,200,0.0279053044798603,3.57422711496853e-06,1.20674086192932e-13,4.78630607581667e-07,1.54695527864793e-09,0,0,0.00405440479850293,0.0279093588846588,0.0133153548387097,0.0151416493874785,0.000154482729431968,2.59246879276636e-06,3.60250546063224e-12,5.55010296575953e-10,5335.39975694444,0.000157075756837536,0.0286140799830257,-9719214.02790936,0.0980612866275637,664.502304964539,-0.000704721098366914,18.5718908401831
"22",21,80.70170317,18.71578588,2.532181076,0.841177246,0.019355693,674040,9.276470588,441000,0.586115758,9.01e-05,0.011000994,4.554,22.66265644,0.096042312,1.265824866,1.361867178,1.64e-06,3.7321911648e+17,2.260509768,138809.0617,0.00146002036906466,4.554,0,9.41713138046706e-13,291.86578588,0.001123272,6.45e-10,1.84957574576563e-11,3.60990944306694e-11,7.63527285326269e-12,6.09282070933808e-12,2.00244811492099e-08,3.50428420111173e-07,51068.438393904,1.60928447989851e-05,1.23112303631806e-12,0.393503182003781,0.397788619161924,200,0.017794071791208,3.65722084350595e-06,4.25076437158509e-17,4.53177652992271e-07,1.02653501506537e-10,0,0,0.00411050115004224,0.0177981822923581,3.39016729696814e-09,0.0147844975353201,0.00015405649575448,2.58531590576484e-06,1.33647898903428e-15,9.87637332003404e-18,5510.99592361111,0.000156641811661592,0.014941142737149,15171508.7822018,0.120356256060916,706.412153284672,0.00285703955520909,18.5747478797383
"23",22,84.01955005,17.61105344,2.820656006,0.850460531,0.020613509,583020,8.630555556,410444.4444,1.322906091,0.000120918,0.012164884,3.26,21.44920094,0.043176557,1.267020077,1.310196634,8.28e-07,761179930559999104,2.306574173,110657.9099,0.000737132235113134,3.26,0,0,290.76105344,0.001123272,0,1.86790249363911e-11,3.61127867113739e-11,7.67818101842055e-12,6.11347758343081e-12,1.01099209704547e-08,1.76923616982958e-07,25807.6785443976,1.60923330093666e-05,0,0.392757757412789,0.397035076541937,200,0.00695812631185912,3.80395380540946e-06,5.689977460711e-18,4.5274627192668e-07,5.17781648004545e-11,0,0,0.00425675185550663,0.00696238306371463,0,0.0128314069224906,0.000153764662027107,2.58041846620202e-06,1.78723624801684e-16,0,5869.12409027778,0.000156345080493487,0.0129877520029841,30942273.5930376,0.0542273061238755,869.768312236287,-0.00602536893926944,18.568722510799
"24",23,86.80618209,16.92162997,2.832855408,0.830648475,0.019737371,484620,8.697222222,413500,-0.876138178,0.000118317,0.011833349,3.0875,19.204791,0.049331642,1.271009701,1.320341343,8.65e-07,-530203672079998848,2.117188194,81374.68704,0.000770071719049349,3.0875,0,0,290.07162997,0.001123272,0,1.87946717652524e-11,3.61213605986683e-11,7.70512496611926e-12,6.12648430457515e-12,1.05616928012601e-08,1.84829624022051e-07,27045.815427579,1.60919277645413e-05,0,0.39229184715275,0.396564092297159,200,0.00663145904677649,3.93781598713067e-06,6.71564981039482e-18,4.53633127540153e-07,5.41978805693691e-11,0,0,0.00439150331255811,0.00663585055008905,0,0.0106884605652596,0.000153582258160302,2.57735743579357e-06,2.10272827322149e-16,0,5619.66813194444,0.000156159615596306,0.0108446201808559,-21552994.8066358,0.0620431633375769,1001.89700507614,-0.00420876963076682,18.5645137411683
